stratum,corpus,policy,max_length,total_conversations_primary,trained_units_primary,unsupported_units_primary,conditional_prevalence_primary,affected_conversations_primary,conversation_incidence_primary,nominal_objective_exposure_primary,processed_objective_exposure_primary,supervised_token_retention_primary,total_conversations_strict,trained_units_strict,unsupported_units_strict,conditional_prevalence_strict,affected_conversations_strict,conversation_incidence_strict,nominal_objective_exposure_strict,processed_objective_exposure_strict,supervised_token_retention_strict,delta_conditional_percentage_points,delta_nominal_objective_percentage_points
all_admitted,toolace,wrapped_single_batch,2048,11300,916,115,0.1255458515283842,114,0.0100884955752212,0.0059941853196952,0.0059971777986829,0.999501018797808,11300,904,115,0.1272123893805309,114,0.0100884955752212,0.0059781580862201,0.0059811425639271,0.999501018797808,0.16665378521466823,-0.0016027233475099552
all_admitted,toolace,wrapped_single_batch,4096,11300,917,59,0.064340239912759,59,0.005221238938053,0.0032129260706459,0.0032137364522358,0.9997478381933248,11300,905,59,0.0651933701657458,59,0.005221238938053,0.0031819400859273,0.0031827426520646,0.9997478381933248,0.08531302529868057,-0.003098598471859993
all_admitted,toolace,wrapped_single_batch,8192,11300,918,27,0.0294117647058823,27,0.0023893805309734,0.0010161266023226,0.0010162655926238,0.9998632342743456,11300,906,27,0.0298013245033112,27,0.0023893805309734,0.0010107841911642,0.0010109224507068,0.9998632342743456,0.038955979742889835,-0.0005342411158400055
exclude_numeric_only,glaive,bfd_split,256,5000,4526,1505,0.3325231992929739,1331,0.2662,0.0449136452618842,0.0450675585636422,0.9965848316025224,5000,4342,1495,0.344311377245509,1321,0.2642,0.0433478815462859,0.043496429176613,0.9965848316025224,1.1788177952535062,-0.15657637155982937
exclude_numeric_only,glaive,bfd_split,512,5000,4575,362,0.0791256830601093,361,0.0722,0.0110521604260188,0.0110601210526229,0.999280240553772,5000,4390,359,0.0817767653758542,358,0.0716,0.0107390076828992,0.0107467427525115,0.999280240553772,0.26510823157449015,-0.03131527431195994
exclude_numeric_only,glaive,bfd_split,1024,5000,4588,1,0.0002179598953792,1,0.0002,0.0001032912189347,0.0001032913882854,0.9999983604568424,5000,4403,1,0.0002271178741766,1,0.0002,0.0001032912189347,0.0001032913882854,0.9999983604568424,0.000915797879739999,0.0
exclude_numeric_only,glaive,bfd_split,2048,5000,4588,0,0.0,0,0.0,0.0,0.0,1.0,5000,4403,0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0
exclude_numeric_only,glaive,bfd_split,4096,5000,4588,0,0.0,0,0.0,0.0,0.0,1.0,5000,4403,0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0
exclude_numeric_only,glaive,bfd_split,8192,5000,4588,0,0.0,0,0.0,0.0,0.0,1.0,5000,4403,0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0
exclude_numeric_only,glaive,wrapped_single_batch,256,5000,4501,1225,0.2721617418351477,1101,0.2202,0.0361896361197915,0.0363298506185275,0.996140515406787,5000,4319,1198,0.2773790229219727,1075,0.215,0.0348222571262743,0.0349571737999776,0.996140515406787,0.521728108682501,-0.13673789935172015
